,Rank_tv,Word,Rank_sim,Rank_pg
0,1.0,you,2,17.0
1,2.0,I,,
2,3.0,to,5,4.0
3,4.0,the,1,1.0
4,5.0,a,4,85.0
5,6.0,and,6,3.0
6,7.0,that,11,7.0
7,8.0,it,8,11.0
8,9.0,of,7,2.0
9,10.0,me,14,37.0
10,11.0,what,21,60.0
11,12.0,is,12,13.0
12,13.0,in,9,5.0
13,14.0,this,13,28.0
14,15.0,know,42,92.0
15,16.0,I'm,,
16,17.0,for,16,14.0
17,18.0,no,22,49.0
18,19.0,have,24,25.0
19,20.0,my,10,35.0
20,21.0,don't,27,
21,22.0,just,31,149.0
22,23.0,not,33,18.0
23,24.0,do,29,57.0
24,25.0,be,25,19.0
25,26.0,on,19,21.0
26,27.0,your,15,59.0
27,28.0,was,38,8.0
28,29.0,we,20,44.0
29,30.0,it's,28,
30,31.0,with,32,12.0
31,32.0,so,35,40.0
32,33.0,but,26,30.0
33,34.0,all,23,31.0
34,35.0,well,36,118.0
35,36.0,are,30,36.0
36,37.0,he,56,10.0
37,38.0,oh,17,2415.0
38,39.0,about,59,71.0
39,40.0,right,51,164.0
40,41.0,you're,41,
41,42.0,get,39,156.0
42,43.0,here,45,132.0
43,44.0,out,44,54.0
44,45.0,going,97,211.0
45,46.0,like,34,76.0
46,47.0,yeah,64,
47,48.0,if,52,52.0
48,49.0,her,114,20.0
49,50.0,she,151,32.0
50,51.0,can,40,79.0
51,52.0,up,49,55.0
52,53.0,want,68,239.0
53,54.0,think,73,133.0
54,55.0,that's,48,836.0
55,56.0,now,37,75.0
56,57.0,go,53,116.0
57,58.0,him,79,29.0
58,59.0,at,47,22.0
59,60.0,how,57,124.0
60,61.0,got,54,199.0
61,62.0,there,60,51.0
62,63.0,one,46,38.0
63,64.0,did,81,82.0
64,65.0,why,78,375.0
65,66.0,see,65,91.0
66,67.0,come,63,110.0
67,68.0,good,62,99.0
68,69.0,they,67,33.0
69,70.0,really,111,398.0
70,71.0,as,72,15.0
71,72.0,would,105,46.0
72,73.0,look,77,203.0
73,74.0,when,88,50.0
74,75.0,time,87,69.0
75,76.0,will,66,48.0
76,77.0,okay,82,
77,78.0,back,80,131.0
78,79.0,can't,76,462.0
79,80.0,mean,179,400.0
80,81.0,tell,132,184.0
81,82.0,I'll,,387.0
82,83.0,from,71,27.0
83,84.0,hey,50,
84,85.0,were,126,34.0
85,86.0,he's,102,1065.0
86,87.0,could,92,63.0
87,88.0,didn't,141,542.0
88,8442.0,didn't,141,542.0
89,89.0,yes,98,1157.0
90,90.0,his,94,9.0
91,91.0,been,107,47.0
92,92.0,or,108,26.0
93,93.0,something,123,219.0
94,94.0,who,83,45.0
95,95.0,because,190,188.0
96,96.0,some,85,67.0
97,97.0,had,135,16.0
98,98.0,then,130,78.0
99,99.0,say,101,122.0
100,100.0,ok,4535,
101,101.0,take,91,142.0
102,102.0,an,74,41.0
103,103.0,way,115,112.0
104,104.0,us,86,83.0
105,105.0,little,75,77.0
106,106.0,make,104,117.0
107,107.0,need,124,411.0
108,108.0,gonna,89,
109,109.0,never,95,102.0
110,110.0,we're,99,3195.0
111,111.0,too,118,126.0
112,112.0,love,109,176.0
113,113.0,she's,273,2259.0
114,114.0,I've,,515.0
115,115.0,sure,140,329.0
116,116.0,them,120,43.0
117,117.0,more,106,53.0
118,118.0,over,131,93.0
119,119.0,our,58,66.0
120,120.0,sorry,134,1079.0
121,121.0,where,125,107.0
122,122.0,what's,129,2435.0
123,123.0,let,137,207.0
124,124.0,thing,143,189.0
125,125.0,am,133,125.0
126,126.0,maybe,162,3663.0
127,127.0,down,116,95.0
128,128.0,man,70,62.0
129,129.0,has,113,61.0
130,130.0,uh,90,
131,131.0,very,173,68.0
132,132.0,by,103,23.0
133,133.0,there's,112,1238.0
134,134.0,should,150,80.0
135,135.0,anything,214,293.0
136,136.0,said,177,42.0
137,137.0,much,188,94.0
138,138.0,any,164,58.0
139,139.0,life,169,114.0
140,140.0,even,170,127.0
141,141.0,off,119,161.0
142,142.0,please,145,696.0
143,143.0,doing,205,561.0
144,144.0,thank,165,1547.0
145,145.0,give,122,158.0
146,146.0,only,127,74.0
147,147.0,thought,207,139.0
148,148.0,help,161,344.0
149,149.0,two,139,89.0
150,150.0,talk,264,457.0
151,151.0,people,128,135.0
152,152.0,god,159,159.0
153,153.0,still,197,146.0
154,154.0,wait,146,820.0
155,155.0,into,167,56.0
156,156.0,find,204,200.0
157,157.0,nothing,224,163.0
158,158.0,again,158,129.0
159,159.0,things,225,155.0
160,160.0,let's,110,
161,161.0,doesn't,261,1687.0
162,162.0,call,195,373.0
163,163.0,told,339,206.0
164,164.0,great,156,86.0
165,165.0,before,206,87.0
166,166.0,better,154,213.0
167,167.0,ever,153,157.0
168,168.0,night,202,180.0
169,169.0,than,172,65.0
170,170.0,away,220,140.0
171,171.0,first,152,97.0
172,172.0,believe,241,298.0
173,173.0,other,231,64.0
174,174.0,feel,219,390.0
175,175.0,everything,281,488.0
176,176.0,work,180,113.0
177,177.0,you've,182,1904.0
178,178.0,fine,278,450.0
179,179.0,home,168,216.0
180,180.0,after,239,96.0
181,181.0,last,192,138.0
182,182.0,these,136,90.0
183,183.0,day,142,106.0
184,184.0,keep,227,294.0
185,185.0,does,233,252.0
186,186.0,put,175,179.0
187,187.0,around,252,431.0
188,188.0,stop,155,1001.0
189,189.0,they're,171,3151.0
190,190.0,I'd,,969.0
191,191.0,guy,213,4563.0
192,192.0,long,250,121.0
193,193.0,isn't,217,1113.0
