,Word,CEFR_o,CEFR_j
0,a,A1,A1
1,about,A1,A1
2,above,A1,A1
3,across,A1,A2
4,action,A1,A1
5,activity,A1,A1
6,actor,A1,A1
7,actress,A1,B1
8,add,A1,A1
9,address,A1,A1
10,adult,A1,A2
11,advice,A1,A2
12,afraid,A1,A1
13,after,A1,A1
14,afternoon,A1,A1
15,again,A1,A1
16,age,A1,A1
17,ago,A1,A1
18,agree,A1,A1
19,air,A1,A2
20,airport,A1,A1
21,all,A1,A1
22,also,A1,A1
23,always,A1,A1
24,amazing,A1,B1
25,and,A1,A1
26,angry,A1,A1
27,animal,A1,A1
28,another,A1,A1
29,answer,A1,A1
30,any,A1,A1
31,anyone,A1,A1
32,anything,A1,A1
33,apartment,A1,A2
34,apple,A1,A1
35,april,A1,
36,area,A1,A2
37,arm,A1,A1
38,around,A1,A1
39,arrive,A1,A1
40,art,A1,A1
41,article,A1,A1
42,artist,A1,B1
43,as,A1,A1
44,ask,A1,A1
45,at,A1,A1
46,august,A1,
47,aunt,A1,A1
48,away,A1,A1
49,awesome,A1,B1
50,baby,A1,A1
51,back,A1,A1
52,bad,A1,A1
53,bag,A1,A1
54,ball,A1,A1
55,banana,A1,A1
56,band,A1,A1
57,bank,A1,A1
58,bar,A1,A1
59,baseball,A1,A1
60,basketball,A1,A1
61,bath,A1,A1
62,bathroom,A1,A1
63,be,A1,A1
64,beach,A1,A1
65,beautiful,A1,A1
66,because,A1,A1
67,become,A1,A1
68,bed,A1,A1
69,bedroom,A1,A1
70,beer,A1,A2
71,before,A1,A1
72,begin,A1,A1
73,beginning,A1,A2
74,behind,A1,A1
75,believe,A1,A1
76,below,A1,A1
77,best,A1,A1
78,better,A1,A1
79,between,A1,A1
80,bicycle,A1,A1
81,big,A1,A1
82,bike,A1,A1
83,bill,A1,A2
84,bird,A1,A1
85,birthday,A1,A1
86,black,A1,A1
87,blog,A1,B1
88,blond,A1,
89,blue,A1,A1
90,boat,A1,A1
91,body,A1,A1
92,book,A1,A1
93,boot,A1,B1
94,bored,A1,A2
95,boring,A1,A1
96,born,A1,
97,both,A1,A1
98,bottle,A1,A1
99,box,A1,A1
100,boy,A1,A1
101,boyfriend,A1,A1
102,bread,A1,A1
103,break,A1,A1
104,breakfast,A1,A1
105,bring,A1,A1
106,brother,A1,A1
107,brown,A1,A1
108,build,A1,A1
109,building,A1,A1
110,bus,A1,A1
111,business,A1,A1
112,busy,A1,A1
113,but,A1,A1
114,butter,A1,A1
115,buy,A1,A1
116,by,A1,A1
117,bye,A1,A1
118,cafe,A1,A1
119,cake,A1,A1
120,call,A1,A1
121,camera,A1,A1
122,can1,A1,
123,cannot,A1,
124,capital,A1,A2
125,car,A1,A1
126,card,A1,A1
127,career,A1,B1
128,carrot,A1,A2
129,carry,A1,A1
130,cat,A1,A1
131,cd,A1,
132,cent,A1,A2
133,center,A1,A2
134,chair,A1,A1
135,change,A1,A1
136,chart,A1,A2
137,cheap,A1,A2
138,check,A1,A1
139,cheese,A1,A1
140,chicken,A1,A1
141,child,A1,A1
